Service,Price
שעת עבודה או חלק ממנה - ביקור טכנאי,"200 ש""ח"
איסוף והחזרת מחשב למעבדה,"100 ש""ח"
איסוף או החזרת מחשב (לכיוון),"60 ש""ח"
שליחת מחשב נייד למעבדה חיצונית,"עד 890 ש""ח (מקדמה 250 ש""ח)"
אנטי וירוס לשנה ללא התקנה,"150 ש""ח"
אנטי וירוס לשנה עם התקנה,"175 ש""ח"
סוללה למחשב נייד - חיצונית,"390 ש""ח"
סוללה למחשב נייד - פנימית כולל הרכבה,"570 ש""ח"
תיקון שקע טעינה - הלחמה,"490 ש""ח"
תיקון שקע טעינה - ללא הלחמה,"390 ש""ח"
החלפת מקלדת למחשב נייד,"החל מ-390 ש""ח"
פירוק והרכבת מסך - ללא טאץ',"החל מ-890 ש""ח"
בעיית לוח/רכיב טעינה,"החל מ-890 ש""ח"
בדיקת התקן אחסון,"החל מ-50 ש""ח"
בדיקת מחשב גיימינג,"150 ש""ח"
ניקוי אבק ומגעים + משחה תרמית,"החל מ-180 ש""ח"
התקנת מערכת הפעלה,"250 ש""ח"
העברת חומרה ממארז למארז,"190–500 ש""ח"
התקנת דרייברים/תוכנות,"150 ש""ח"
התקנת חומרת גיימינג,"100–300 ש""ח"
בדיקת מחשב נייד / AIO ללא תיקון,"120 / 150 ש""ח"
פתיחת מחשב,"250 ש""ח (או 150 ש""ח אם חלק מתיקון)"
פירמוט והתקנת מערכת הפעלה + דרייברים,"250 ש""ח (או 150 ש""ח עם קניית רישיון)"
ניקוי אבק ומגעים נייד,"החל מ-250 ש""ח"
החלפת מסך (לא נקנה אצלנו),"250 ש""ח – ללא אחריות"
החלפת סוללה (לא נקנתה אצלנו),"250 ש""ח – ללא אחריות"
ניקוי קורוזיה,"החל מ-590 ש""ח / אם לא מצליח – 250 ש""ח"
תיקון מערכת הפעלה,"180 ש""ח"
ניקוי תוכנות לא רצויות / וירוסים,"180 ש""ח"
פתיחת סיסמת וינדוס,"350 ש""ח"
סידור / התקנת דרייבר,"120 ש""ח"
תיקון מערכת הפעלה / אופיס,"150–280 ש""ח"
הרכבת חומרה כולל דרייברים,"90–150 ש""ח (כרטיס מסך: עד 300 ש""ח)"
הרכבת חומרה/מעבר מארז,"150–500 ש""ח"
גיבוי / שכפול דיסק,"180 ש""ח / 50 ש""ח אם לא מצליח"
שכפול דיסק לדיסק,"180 ש""ח / אם לא מצליח – 50 ש""ח"
תחזוקה חודשית (1–10 תחנות) – מחיר לעמדה,100 ₪
תחזוקה חודשית (11–25 תחנות) – מחיר לעמדה,90 ₪
תחזוקה חודשית (26–50 תחנות) – מחיר לעמדה,80 ₪
תחזוקה חודשית (51–100 תחנות) – מחיר לעמדה,70 ₪
תחזוקה חודשית (100+ תחנות) – הצעת מחיר,בהצעת מחיר
החלפת חומרה (RAM/SSD/PSU),140–330 ₪
פירמוט + העתקת קבצים (>50 GB),280–390 ₪
שחזור מידע לוגי,מ-500 ₪
פתיחת מחשב נייד / החלפת משחה תרמית,280 ₪
